AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@MeasurementValue@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays@Age@UnitOfMeasure
260352@138725@Live weight@@0.78@0@NA@2018-12-06@NA@NA@NA@NA@89@2731@7.482191780821918@kg
260352@138725@Live weight@@1.15@0@NA@2020-09-16@NA@NA@NA@NA@111@3381@9.263013698630138@kg
260352@138725@Live weight@@1.17@0@NA@2021-04-21@NA@NA@NA@NA@118@3598@9.857534246575343@kg
271013@78043@Live weight@@2.98@0@NA@2015-11-12@NA@NA@NA@NA@148@4533@12.419178082191781@kg
271013@78043@Live weight@@3.15@0@NA@2023-06-16@NA@NA@NA@NA@240@7306@20.016438356164382@kg
278187@115683@Live weight@@0.555@0@NA@2023-05-26@NA@NA@NA@NA@128@3914@10.723287671232876@kg
281958@123651@Live weight@@0.915@0@NA@2020-09-17@NA@NA@NA@NA@20@625@1.7123287671232876@kg
285429@120782@Live weight@@0.81@0@NA@2022-05-25@NA@NA@NA@NA@130@3980@10.904109589041095@kg
290440@137182@Live weight@@1.107@0@NA@2017-04-21@NA@NA@NA@NA@161@4925@13.493150684931507@kg
300843@34263@Live weight@@3.296@0@NA@2008-05-25@NA@NA@NA@NA@840@25568@70.04931506849314@kg
302680@108574@Live weight@@0.95@0@NA@2021-05-01@NA@NA@NA@NA@136@4138@11.336986301369864@kg
321094@23814@Live weight@@2.033@0@NA@1992-05-04@NA@NA@NA@NA@263@8008@21.93972602739726@kg
321094@23814@Live weight@@1.985@0@NA@1994-01-05@NA@NA@NA@NA@283@8619@23.613698630136987@kg
321094@23814@Live weight@@2.11@0@NA@1996-08-15@NA@NA@NA@NA@314@9572@26.224657534246575@kg
321094@23814@Live weight@@2.1@0@NA@1997-04-17@NA@NA@NA@NA@322@9817@26.895890410958906@kg
321094@23814@Live weight@@1.961@0@NA@1996-02-18@NA@NA@NA@NA@308@9393@25.734246575342464@kg
321094@23814@Live weight@@1.97@0@NA@1996-02-11@NA@NA@NA@NA@308@9386@25.715068493150685@kg
321094@23814@Live weight@@2.2@0@NA@1994-02-23@NA@NA@NA@NA@284@8668@23.747945205479454@kg
321094@23814@Live weight@@2.1@0@NA@1996-11-30@NA@NA@NA@NA@317@9679@26.517808219178082@kg
331112@129985@Live weight@@0.431@0@NA@2015-01-16@NA@NA@NA@NA@54@1647@4.512328767123288@kg
331112@129985@Live weight@@0.469@0@NA@2015-03-10@NA@NA@NA@NA@55@1700@4.657534246575342@kg
341653@15939@Live weight@@0.518@0@NA@2022-05-23@NA@NA@NA@NA@76@2334@6.394520547945206@kg
341653@15939@Live weight@@0.49@0@NA@2021-05-31@NA@NA@NA@NA@64@1977@5.416438356164384@kg
341653@15939@Live weight@@0.415@0@NA@2018-10-17@NA@NA@NA@NA@33@1020@2.7945205479452055@kg
372543@168670@Live weight@@0.543@0@NA@2020-12-11@NA@NA@NA@NA@19@590@1.6164383561643836@kg
372543@168670@Live weight@@0.735@0@NA@2020-05-02@NA@NA@NA@NA@12@367@1.0054794520547945@kg
372543@168670@Live weight@@0.658@0@NA@2019-12-12@NA@NA@NA@NA@7@225@0.6164383561643836@kg
372543@168670@Live weight@@0.646@0@NA@2020-01-08@NA@NA@NA@NA@8@252@0.6904109589041096@kg
381026@129985@Live weight@@0.694@0@NA@2016-09-05@NA@NA@NA@NA@94@2889@7.9150684931506845@kg
386017@78043@Live weight@@0.95@0@NA@2013-12-10@NA@NA@NA@NA@107@3265@8.945205479452055@kg
386017@78043@Live weight@@0.86@0@NA@2022-10-24@NA@NA@NA@NA@213@6505@17.82191780821918@kg
386017@78043@Live weight@@0.96@0@NA@2017-11-19@NA@NA@NA@NA@154@4705@12.89041095890411@kg
386017@78043@Live weight@@0.9@0@NA@2016-11-04@NA@NA@NA@NA@142@4325@11.849315068493151@kg
386536@19749@Live weight@@0.017@0@NA@2019-10-10@NA@NA@NA@NA@2@79@0.21643835616438356@kg
393088@156191@Live weight@@0.567@0@NA@2020-09-01@NA@NA@NA@NA@98@3003@8.227397260273973@kg
393088@156191@Live weight@@0.543@0@NA@2023-07-16@NA@NA@NA@NA@133@4051@11.098630136986301@kg
393088@156191@Live weight@@0.37@0@NA@2015-12-06@NA@NA@NA@NA@41@1272@3.484931506849315@kg
393088@156191@Live weight@@0.445@0@NA@2017-06-01@NA@NA@NA@NA@59@1815@4.972602739726027@kg
393088@156191@Live weight@@0.432@0@NA@2016-10-07@NA@NA@NA@NA@51@1578@4.323287671232877@kg
393088@156191@Live weight@@0.585@0@NA@2021-10-03@NA@NA@NA@NA@111@3400@9.315068493150685@kg
393355@53012@Live weight@@0.477@0@NA@2016-01-24@NA@NA@NA@NA@36@1118@3.063013698630137@kg
396342@129985@Live weight@@0.302@0@NA@2015-02-13@NA@NA@NA@NA@60@1830@5.013698630136986@kg
396342@129985@Live weight@@0.36@0@NA@2015-10-22@NA@NA@NA@NA@68@2081@5.701369863013698@kg
