AnimalAnonID@RecordingInstitution@CollectionNameLocal@CollectionNameEnglish@CollectionType@ScopeType@ChangeDate
2862719@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2007-09-01
2845396@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2011-05-01
4672033@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2022-08-01
1142623@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2017-05-29
3219298@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2014-08-01
1220493@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2020-07-09
2188541@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2020-07-09
1205954@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2017-05-29
4224387@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2021-10-05
3419755@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2017-05-29
1260710@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2017-09-01
4487486@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2022-08-01
3186415@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2020-07-09
3470083@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2014-09-06
1238834@36548@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2020-07-09
2020554@37243@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2015-03-03
2180597@37243@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1988-08-04
1228962@39203@Primary Animal Collection@Primary Animal Collection@Main Collection@Global@2003-01-29
2793600@40446@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2010-05-21
3702013@41316@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2016-05-17
2931547@41316@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@2007-04-26
1621018@41678@Main Institution Animal Collection@Main Institution Animal Collection@Main Collection@Global@1998-07-19
