"param";"value";"Species";"Sex";"Class";"models";"Data";"firstage";"stat"
"L90";"2,06080000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"S1month";"9,89367105776953e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"S1month";"9,97506172795946e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"S1month";"9,94840076015696e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"S1year";"9,52241351709982e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"S1year";"9,79517395046332e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"S1year";"9,68033091033783e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"Gof_KM_coeff1";"5,47826086956522e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_KM_coeff2";"2,24847493301316e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_martingale";NA;"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"LxatMLE";"4,63172922333973e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"LEmaxOage";"2,45609145477933e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"KMMinLx";"2,34412390042351e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_Martingal_KM";"8,91005661458337e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_Martingal_test";"1,00000000000000e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"NSelect";"2,06000000000000e+02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"NUncertdeath";"2,05000000000000e+02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"NBasta";"1,94000000000000e+02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"Ndead";"7,90000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"Nrc";"1,15000000000000e+02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"N8090";"4,20000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"N9000";"4,80000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"N0010";"6,80000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"N1020";"3,40000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"N2030";"2,00000000000000e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"QBD10";"1,98700000000000e+03";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"QBD50";"2,00200000000000e+03";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"QBD90";"2,01200000000000e+03";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"BDincert";"7,15206185567010e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"maxAge";"9,16800000000000e+03";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"maxAlive";"9,16800000000000e+03";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"lxMin";"5,74492539373262e-02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"outLev";"9,90000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"L50";"7,92881587953457e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"MLE";"9,83311239917171e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"L90";"1,89240246406571e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
"L90";"2,47259333356895e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"mean"
"L90";"2,48000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"lower"
"L90";"2,47000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"upper"
"L50";"1,75160760140139e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"mean"
"L50";"1,76000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"lower"
"L50";"1,61000000000000e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"upper"
"S1month";"1,00000000000000e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"S1year";"1,00000000000000e+00";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"MLE";"1,58477201876471e+01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
"H";"3,89209114967554e-01";"Testudo hermanni";"Female";"Reptilia";"from0";"KM";"birth";"value"
