AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@WeightValueKg@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays
386536@19749@Live weight@@0.017@0@NA@2019-10-10@@@@NA@2@79
393088@156191@Live weight@@0.567@0@NA@2020-09-01@@@@NA@98@3003
393088@156191@Live weight@@0.543@0@NA@2023-07-16@@@@NA@133@4051
393088@156191@Live weight@@0.37@0@NA@2015-12-06@@@@NA@41@1272
393088@156191@Live weight@@0.445@0@NA@2017-06-01@@@@NA@59@1815
393088@156191@Live weight@@0.432@0@NA@2016-10-07@@@@NA@51@1578
393088@156191@Live weight@@0.585@0@NA@2021-10-03@@@@NA@111@3400
393355@53012@Live weight@@0.477@0@NA@2016-01-24@@@@NA@36@1118
396342@129985@Live weight@@0.302@0@NA@2015-02-13@@@@NA@60@1830
396342@129985@Live weight@@0.36@0@NA@2015-10-22@@@@NA@68@2081
396342@129985@Live weight@@0.342@0@NA@2014-10-13@@@@NA@56@1707
396342@129985@Live weight@@0.304@0@NA@2014-12-28@@@@NA@58@1783
396342@129985@Live weight@@0.363@0@NA@2015-09-21@@@@NA@67@2050
404931@8383@Dead weight@@1.856@0@NA@2004-05-05@@@@NA@232@7064
407289@138725@Live weight@@1.925@0@NA@2009-07-14@@@@NA@738@22475
407289@138725@Live weight@@2.05@0@NA@2009-12-20@@@@NA@743@22634
407289@138725@Live weight@@1.825@0@NA@2008-06-12@@@@NA@725@22078
407289@138725@Live weight@@1.96@0@NA@2009-05-22@@@@NA@736@22422
430412@34263@Live weight@@0.553@0@NA@2015-09-01@@@@NA@55@1678
433912@21224@Live weight@@0.9@0@NA@2018-10-08@@@@NA@36@1102
433912@21224@Live weight@@0.936@0@NA@2016-10-07@@@@NA@12@371
433912@21224@Live weight@@0.865@0@NA@2017-04-19@@@@NA@18@565
442321@111450@Live weight@@2.206@0@NA@2021-02-25@@@@NA@97@2977
452916@48819@Live weight@@0.876@0@NA@2023-09-04@@@@NA@68@2072
452916@48819@Live weight@@0.84@0@NA@2022-09-26@@@@NA@56@1729
455417@109140@Live weight@@2.583@0@NA@2023-08-21@@@@NA@223@6806
455417@109140@Live weight@@1.02@0@NA@2009-01-13@@@@NA@48@1473
455417@109140@Live weight@@1.14@0@NA@2011-09-17@@@@NA@80@2450
467836@128899@Live weight@@0.09@0@NA@2021-10-14@@@@NA@27@835
475586@68537@Live weight@@1.801@0@NA@2014-09-03@@@@NA@254@7754
475586@68537@Live weight@@1.808@0@NA@2021-08-06@@@@NA@337@10283
475586@68537@Live weight@@1.61@0@NA@2008-09-30@@@@NA@183@5590
475586@68537@Live weight@@1.836@0@NA@2020-04-29@@@@NA@322@9819
475586@68537@Live weight@@1.881@0@NA@2014-11-12@@@@NA@257@7824
475586@68537@Live weight@@1.806@0@NA@2019-02-06@@@@NA@307@9371
475586@68537@Live weight@@1.784@0@NA@2020-05-13@@@@NA@323@9833
475586@68537@Live weight@@1.671@0@NA@2011-04-13@@@@NA@214@6515
475586@68537@Live weight@@2.574@0@NA@2012-02-08@@@@NA@223@6816
475586@68537@Live weight@@1.444@0@NA@2007-10-16@@@@NA@172@5240
475586@68537@Live weight@@1.545@0@NA@2003-08-05@@@@NA@121@3707
475586@68537@Live weight@@1.67@0@NA@2012-10-03@@@@NA@231@7054
475586@68537@Live weight@@1.79@0@NA@2015-07-08@@@@NA@264@8062
475586@68537@Live weight@@1.823@0@NA@2017-12-20@@@@NA@294@8958
475586@68537@Live weight@@1.841@0@NA@2020-05-27@@@@NA@323@9847
475586@68537@Live weight@@1.851@0@NA@2019-01-23@@@@NA@307@9357
475586@68537@Live weight@@1.709@0@NA@2011-10-05@@@@NA@219@6690
475586@68537@Live weight@@1.79@0@NA@2021-06-10@@@@NA@335@10226
475586@68537@Live weight@@1.885@0@NA@2015-01-07@@@@NA@258@7880
475586@68537@Live weight@@1.887@0@NA@2021-11-10@@@@NA@340@10379
475586@68537@Live weight@@1.902@0@NA@2020-08-19@@@@NA@326@9931
475586@68537@Live weight@@1.753@0@NA@2015-09-02@@@@NA@266@8118
484348@115890@Live weight@@1.62@0@NA@2018-03-09@@@@NA@210@6410
484348@115890@Live weight@@0.001575@0@NA@2018-02-21@@@@NA@210@6394
484348@115890@Live weight@@1.575@0@NA@2021-05-05@@@@NA@248@7563
487165@168670@Live weight@@0.427@0@NA@2020-03-17@@@@NA@10@321
487165@168670@Live weight@@0.41@0@NA@2020-02-04@@@@NA@9@279
487165@168670@Live weight@@0.45@0@NA@2020-09-16@@@@NA@16@504
487165@168670@Live weight@@0.426@0@NA@2021-01-19@@@@NA@20@629
487165@168670@Live weight@@0.436@0@NA@2020-12-23@@@@NA@19@602
496661@48258@Live weight@@2.290664@0@NA@2010-10-21@@@@NA@4@135
521769@138725@Live weight@@1.975@0@NA@2009-10-31@@@@NA@65@2009
521769@138725@Live weight@@2@0@NA@2010-02-15@@@@NA@69@2116
521769@138725@Live weight@@2@0@NA@2009-12-20@@@@NA@67@2059
522096@122408@Live weight@@1@0@NA@1988-08-01@@@@NA@26@794
531571@111450@Live weight@@0.022@0@NA@2014-10-07@@@@NA@13@406
554757@62963@Live weight@@0.447@0@NA@2022-09-06@@@@NA@NA@NA
554757@62963@Live weight@@0.421@0@NA@2021-09-16@@@@NA@NA@NA
554757@62963@Live weight@@0.494@0@NA@2023-06-03@@@@NA@NA@NA
554757@62963@Live weight@@0.448@0@NA@2022-03-14@@@@NA@NA@NA
554757@62963@Live weight@@0.596@0@NA@2023-12-30@@@@NA@NA@NA
554757@62963@Live weight@@0.424@0@NA@2021-05-17@@@@NA@NA@NA
