AnimalAnonID@EventType@TermType@Date@From@To
2285521@Birth/hatch@Birth/hatch (physical and ownership)@2012-09-27 00:00:00.000@NA@79827
2282754@To another institution@Donation to (ownership only)@1994-02-01 00:00:00.000@NA@NA
2282754@From another institution@Loan in from (physical only)@1989-08-08 00:00:00.000@NA@165198
2282754@From another institution@Donation from (ownership only)@1991-07-30 00:00:00.000@NA@NA
2309146@Appeared@Appeared (physical and ownership)@2009-08-21 00:00:00.000@NA@48310
2376248@Rescued@Rescued (physical and ownership)@2020-05-25 00:00:00.000@NA@123651
2150121@Birth/hatch@Birth/hatch (physical and ownership)@1999-09-09 00:00:00.000@NA@114122
2150485@From another institution@Donation from (physical and ownership)@2000-07-11 00:00:00.000@NA@142218
2144539@Birth/hatch@Birth/hatch (physical only)@2020-07-29 00:00:00.000@NA@11635
2142491@Rescued@Rescued (physical only)@2016-06-30 00:00:00.000@NA@36548
2508540@Birth/hatch@Birth/hatch (physical and ownership)@1995-09-01 00:00:00.000@NA@115287
2664603@From another institution@Loan in from (physical only)@2008-12-30 00:00:00.000@NA@20050
2311000@From another institution@Loan in from (physical only)@2011-01-27 00:00:00.000@NA@34263
2319720@Rescued@Rescued (physical and ownership)@2018-01-18 00:00:00.000@NA@4407
2284982@Appeared@Appeared (physical and ownership)@2020-09-04 00:00:00.000@NA@93275
2443928@Rescued@Rescued (physical and ownership)@2018-08-18 00:00:00.000@NA@123651
2591864@Birth/hatch@Birth/hatch (physical and ownership)@1996-08-02 00:00:00.000@NA@48819
2327456@Rescued@Rescued (physical only)@2020-07-09 00:00:00.000@NA@36548
2327580@Rescued@Rescued (physical only)@2017-10-21 00:00:00.000@NA@162433
2711569@Birth/hatch@Birth/hatch (physical and ownership)@1998-07-06 00:00:00.000@NA@79224
2715843@Birth/hatch@Birth/hatch (physical and ownership)@2021-11-24 00:00:00.000@NA@79827
2755225@Birth/hatch@Birth/hatch (physical and ownership)@1991-08-02 00:00:00.000@NA@34263
1844821@Birth/hatch@Birth/hatch (physical and ownership)@2007-09-13 00:00:00.000@NA@41678
1874692@Birth/hatch@Birth/hatch (physical and ownership)@2014-08-15 00:00:00.000@NA@123623
1772317@Birth/hatch@Birth/hatch (physical and ownership)@1990-08-20 00:00:00.000@NA@143802
1784027@Rescued@Rescued (physical and ownership)@2019-03-19 00:00:00.000@NA@123651
1815522@From another institution@Loan in from (physical only)@1998-09-30 00:00:00.000@NA@41678
1951891@Birth/hatch@Birth/hatch (physical and ownership)@2001-09-15 00:00:00.000@NA@61793
2031366@Birth/hatch@Birth/hatch (physical and ownership)@2012-08-10 00:00:00.000@NA@44462
2349903@Birth/hatch@Birth/hatch (physical and ownership)@1997-08-04 00:00:00.000@NA@123623
2502375@Birth/hatch@Birth/hatch (physical and ownership)@1998-08-09 00:00:00.000@NA@99698
2318574@Birth/hatch@Birth/hatch (physical and ownership)@2020-07-04 00:00:00.000@NA@174221
2288203@Birth/hatch@Birth/hatch (physical and ownership)@2009-08-13 00:00:00.000@NA@121600
2981226@Birth/hatch@Birth/hatch (physical and ownership)@1992-07-02 00:00:00.000@NA@120859
3005361@From another institution@Loan in from (physical only)@1998-08-13 00:00:00.000@NA@150898
2243056@Rescued@Rescued (physical only)@2020-07-09 00:00:00.000@NA@36548
2220379@Birth/hatch@Birth/hatch (physical and ownership)@1996-09-15 00:00:00.000@NA@41678
2220448@Death@Death (ownership only)@2011-10-01 00:00:00.000@NA@NA
2261969@Birth/hatch@Birth/hatch (physical and ownership)@2010-06-15 00:00:00.000@NA@65498
1841113@Birth/hatch@Birth/hatch (physical and ownership)@1994-08-15 00:00:00.000@NA@48819
1863150@Birth/hatch@Birth/hatch (physical and ownership)@2010-08-01 00:00:00.000@NA@36548
1939044@Birth/hatch@Birth/hatch (physical and ownership)@2008-09-01 00:00:00.000@NA@36548
1947995@Birth/hatch@Birth/hatch (physical and ownership)@1987-07-29 00:00:00.000@NA@48819
3073946@From another institution@Loan in from (physical only)@1997-08-12 00:00:00.000@NA@34263
2809765@From another institution@Loan in from (physical only)@1994-09-21 00:00:00.000@NA@161038
2809857@Rescued@Rescued (physical and ownership)@2017-09-22 00:00:00.000@NA@NA
2835337@Birth/hatch@Birth/hatch (physical and ownership)@2015-08-27 00:00:00.000@NA@115108
2902806@Birth/hatch@Birth/hatch (physical and ownership)@2002-07-07 00:00:00.000@NA@150898
2923290@From another institution@Loan in from (physical only)@2005-11-04 00:00:00.000@NA@150898
2526604@Birth/hatch@Birth/hatch (physical and ownership)@2004-12-27 00:00:00.000@NA@111450
2526753@Birth/hatch@Birth/hatch (physical and ownership)@1998-07-19 00:00:00.000@NA@114122
2353240@Birth/hatch@Birth/hatch (physical and ownership)@1993-09-23 00:00:00.000@NA@79224
2416148@Undetermined@Undetermined (physical and ownership)@2005-01-01 00:00:00.000@NA@138417
2450563@Birth/hatch@Birth/hatch (physical and ownership)@2020-10-25 00:00:00.000@NA@174221
2446934@Birth/hatch@Birth/hatch (physical and ownership)@1988-09-04 00:00:00.000@NA@33954
1894936@Birth/hatch@Birth/hatch (physical and ownership)@1992-07-01 00:00:00.000@NA@79224
1880417@Birth/hatch@Birth/hatch (physical and ownership)@2017-09-01 00:00:00.000@NA@36548
2282016@From another institution@Loan in from (physical only)@1998-08-13 00:00:00.000@NA@150898
2041234@Birth/hatch@Birth/hatch (physical and ownership)@2020-10-29 00:00:00.000@NA@174221
2041547@Birth/hatch@Birth/hatch (physical and ownership)@2009-09-04 00:00:00.000@NA@120334
2096886@Birth/hatch@Birth/hatch (physical and ownership)@2007-05-01 00:00:00.000@NA@3217
2111432@Rescued@Rescued (physical only)@2017-09-21 00:00:00.000@NA@36548
2561963@Rescued@Rescued (physical only)@2021-10-05 00:00:00.000@NA@36548
2592772@Appeared@Appeared (physical and ownership)@2015-11-07 00:00:00.000@NA@52629
2554621@From another institution@Loan in from (physical only)@1994-09-21 00:00:00.000@NA@161038
2472374@Birth/hatch@Birth/hatch (physical and ownership)@1999-07-06 00:00:00.000@NA@114122
3219298@Rescued@Rescued (physical only)@2014-08-01 00:00:00.000@NA@36548
3226770@Birth/hatch@Birth/hatch (physical and ownership)@1994-08-14 00:00:00.000@NA@79224
3065947@Birth/hatch@Birth/hatch (physical and ownership)@2010-09-29 00:00:00.000@NA@78043
3068947@Birth/hatch@Birth/hatch (physical and ownership)@1992-07-01 00:00:00.000@NA@79224
3089307@Rescued@Rescued (physical and ownership)@2018-10-25 00:00:00.000@NA@169853
2025896@Birth/hatch@Birth/hatch (physical and ownership)@1994-08-04 00:00:00.000@NA@79224
2065139@Rescued@Rescued (physical and ownership)@2019-03-19 00:00:00.000@NA@123651
2012603@Birth/hatch@Birth/hatch (physical and ownership)@1991-08-01 00:00:00.000@NA@79224
2004178@Rescued@Rescued (physical only)@2021-09-19 00:00:00.000@NA@79827
2029843@From another institution@Loan in from (physical only)@2011-09-23 00:00:00.000@NA@11616
2016981@Birth/hatch@Birth/hatch (physical and ownership)@1994-10-07 00:00:00.000@NA@120859
2054996@From another institution@Loan in from (physical only)@1994-09-07 00:00:00.000@NA@161038
2055206@Rescued@Rescued (physical and ownership)@2010-04-27 00:00:00.000@NA@108911
2693516@Rescued@Rescued (physical only)@2021-04-19 00:00:00.000@NA@36548
2763129@Birth/hatch@Birth/hatch (physical and ownership)@2007-07-16 00:00:00.000@NA@65498
2763155@Birth/hatch@Birth/hatch (physical and ownership)@1993-08-16 00:00:00.000@NA@79224
2539693@Birth/hatch@Birth/hatch (physical and ownership)@2000-10-02 00:00:00.000@NA@150898
2535486@Birth/hatch@Birth/hatch (physical and ownership)@2004-07-11 00:00:00.000@NA@123623
1969454@Rescued@Rescued (physical only)@2017-05-29 00:00:00.000@NA@36548
2002285@Birth/hatch@Birth/hatch (physical and ownership)@1990-08-01 00:00:00.000@NA@143802
2383962@Birth/hatch@Birth/hatch (physical and ownership)@2011-07-08 00:00:00.000@NA@115933
2451018@Birth/hatch@Birth/hatch (physical and ownership)@1998-07-19 00:00:00.000@NA@41678
2451018@Death@@2001-12-31 00:00:00.000@NA@NA
2317326@Rescued@Rescued (physical and ownership)@2018-10-25 00:00:00.000@NA@169853
2334914@From another institution@Loan in from (physical only)@2008-03-17 00:00:00.000@NA@129781
2390316@From another institution@Donation from (physical and ownership)@1999-05-30 00:00:00.000@NA@32398
3249269@Birth/hatch@Birth/hatch (physical and ownership)@2016-01-06 00:00:00.000@NA@79827
3283611@From another institution@Donation from (physical and ownership)@2008-03-20 00:00:00.000@NA@115890
3195121@Birth/hatch@Birth/hatch (physical and ownership)@1991-09-05 00:00:00.000@NA@34263
3195346@From another institution@Donation from (physical and ownership)@2011-05-07 00:00:00.000@NA@90434
3739861@Birth/hatch@Birth/hatch (physical and ownership)@2020-07-04 00:00:00.000@NA@174221
3386815@Rescued@Rescued (physical only)@2018-09-01 00:00:00.000@NA@36548
3406571@Birth/hatch@Birth/hatch (physical and ownership)@1992-07-01 00:00:00.000@NA@79224
3412222@From another institution@Loan in from (physical only)@2011-01-27 00:00:00.000@NA@34263
3341296@Birth/hatch@Birth/hatch (physical and ownership)@1988-08-23 00:00:00.000@NA@34263
3413101@Rescued@Rescued (physical only)@2018-06-27 00:00:00.000@NA@36548
3838211@Birth/hatch@Birth/hatch (physical and ownership)@1994-07-01 00:00:00.000@NA@120859
2734089@Appeared@Appeared (physical and ownership)@1975-12-31 00:00:00.000@NA@150949
2780555@Birth/hatch@Birth/hatch (physical and ownership)@2010-09-05 00:00:00.000@NA@36548
2789282@Birth/hatch@Birth/hatch (physical and ownership)@2021-10-10 00:00:00.000@NA@15939
2805325@From another institution@Loan in from (physical only)@1994-09-21 00:00:00.000@NA@161038
2905669@Birth/hatch@Birth/hatch (physical and ownership)@1988-08-30 00:00:00.000@NA@41678
2850172@Birth/hatch@Birth/hatch (physical and ownership)@1991-11-04 00:00:00.000@NA@120859
3403385@Birth/hatch@Birth/hatch (physical and ownership)@1991-07-11 00:00:00.000@NA@120859
3435949@From another institution@Loan in from (physical only)@1995-05-26 00:00:00.000@NA@11523
3419755@Rescued@Rescued (physical only)@2017-05-29 00:00:00.000@NA@36548
2086075@Rescued@Rescued (physical and ownership)@2015-09-25 00:00:00.000@NA@135058
2460109@Birth/hatch@Birth/hatch (physical and ownership)@2017-09-01 00:00:00.000@NA@36548
2528045@Rescued@Rescued (physical and ownership)@2017-05-19 00:00:00.000@NA@35001
2525476@Birth/hatch@Birth/hatch (physical and ownership)@2012-08-10 00:00:00.000@NA@44462
2897992@Birth/hatch@Birth/hatch (physical and ownership)@1994-08-04 00:00:00.000@NA@79224
2974710@From another institution@Loan in from (physical only)@2013-09-20 00:00:00.000@NA@36548
3500855@From another institution@Loan in from (physical only)@1991-05-25 00:00:00.000@NA@66350
3532413@Birth/hatch@Birth/hatch (physical and ownership)@2014-08-27 00:00:00.000@NA@115933
3487422@Birth/hatch@Birth/hatch (physical and ownership)@2009-08-17 00:00:00.000@NA@121600
3492277@Birth/hatch@Birth/hatch (physical and ownership)@2013-01-01 00:00:00.000@NA@53055
3497388@Birth/hatch@Birth/hatch (physical and ownership)@2005-01-01 00:00:00.000@NA@3217
3497494@Birth/hatch@Birth/hatch (physical and ownership)@2006-08-14 00:00:00.000@NA@123623
3526956@From another institution@Donation from (physical and ownership)@1998-06-05 00:00:00.000@NA@46745
